annotation_id,natural language,template format,1st worker,2nd worker,3rd worker,4th worker,5th worker,majority
A01_HW_LO_058_5_1,1つのことに偏ってしまうことの何が問題となるのかが不明瞭である,なぜ生徒にとって1つのことに偏ってしまうことが悪いことなのかが不明確,3,3,2,3,3,3
A01_HW_LO_058_8_1,なぜ生徒の成績が下がっていくかの理由がないので、そこの説明をするといいでしょう。,なぜ1つのことに集中することによって成績が下がるという悪い結果が起こるのかが不明確,1,1,3,1,1,1
A01_HW_LO_060_1_1,なぜ健康ややりたいことの実現よりも学力の低下のほうが問題なのかの説明が不足している。,なぜ肯定側の健康維持ややりたいことの実現ができるという主張よりも否定側の学力を低下を防げるという主張が優位だと言えるのかが不明確,3,1,3,3,3,3
A01_HW_LO_060_3_1,勉強よりも大事なことがあるともし肯定側が言って来た場合、この主張だけでは勝ちきれない,肯定側からの勉強よりも大事なことがあるという反論が想定される,3,1,2,2,2,2
A01_HW_LO_060_4_1,宿題がなくなるとつまずいている箇所がわからなくなるという部分のロジックがやや不足している,なぜ宿題がなくなることによってつまずいている箇所がわからなくなるという悪い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_060_5_1,自由な時間が増えることが、つまずいている箇所の把握を難しくする理由がない,なぜ自由時間が増えることによってつまずいている箇所の把握が難しくなるという悪い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_060_7_1,どこでつまずいているかわからなくなる問題が解決する過程が描写されていない,なぜ宿題によってつまずいている箇所がわからなくなるという悪い結果が抑制されるのかが不明確,3,3,3,3,3,3
A01_HW_LO_060_8_1,なぜ自由時間が増えると生徒が分からない問題を解き続けるという行動をとるかの理由がない,なぜ自由時間の増加によって生徒が分からない問題を解き続けるという悪い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_063_1_1,宿題が廃止され自由時間のみとなると、学生間にどのようなギャップが生じるのかの説明が不足している。,学生間にギャップが生じるという表現が何を意味しているのか分からない,3,2,1,2,3,2
A01_HW_LO_063_3_1,宿題があることで、勉強していなくて点数がとれない生徒がどう変わるのかという分析がない。,なぜ宿題によって勉強していなくて点数がとれない生徒がいるという悪い結果が抑制されるのかが不明確,1,3,3,3,3,3
A01_HW_LO_063_4_1,勉強をしなくなり成績が下がる生徒が出てくることは教育上問題であると主張していますが、どのように深刻な問題なのかという説明が不足している,なぜ生徒にとって勉強をしなくなり成績が下がることが悪いことなのかが不明確,3,2,1,2,3,2
A01_HW_LO_072_2_1,宿題がない場合にどう勉強が身につかないのかいうことについて言及がない。,なぜ宿題がないことによって勉強が身につかないという悪い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_072_3_1,授業内容が忘れられるのを防ぐ宿題について、具体的な科目の宿題や勉強内容の例示が不足している。,なぜ宿題によって授業内容が忘れられるのを防ぐという良い結果が起こるのかが不明確,2,3,2,3,2,2
A01_HW_LO_072_4_1,宿題でなくても責任感は養えるという反論も予想される,肯定側からの宿題でなくても責任感は養えるという反論が想定される,3,3,3,3,3,3
A01_HW_LO_072_5_1,宿題で責任感が養われる過程がやや不明瞭である,なぜ宿題によって生徒の責任感が養われるという良い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_072_7_1,優先順位を付け計画を立てる力は部活動の練習スケジュールでも養えるかもしれないが、なぜ宿題だとこの力がとりわけ身につくのかの説明が不足している。,優先順位を付け計画を立てる力の養成を実現するのに，なぜ宿題ではなく部活動の練習スケジュールという方法が良いのかの説明が不足している,1,3,1,3,3,3
A01_HW_LO_072_8_1,宿題がなかった場合に優先順位を付け計画を立てる力は身に付かないのかという点が重要だが、宿題廃止後なぜこの力は身に付かないかの説明が不足している。,なぜ宿題の廃止によって優先順位を付け計画を立てる力が身につかなくなるという悪い結果が起こるのかが不明確,3,3,3,3,2,3
A01_HW_LO_075_1_1,他の趣味などと比べて宿題をすることの方が大事だという前提の説明が欠けている。,なぜ他の趣味などよりも宿題を優先すべきかの説明が不足している,3,3,3,3,2,3
A01_HW_LO_075_3_1,PMの提示した宿題を行うために寝る時間が遅くなる、などの描写を受けて、宿題と他の活動を両立させられるようなスケジューリングを行えばよいというLOの主張が可能かどうかという実現可能性について説明がなされていない。,なぜ宿題と他の活動を両立させられるようなスケジューリングを実現可能なのかが不明確,3,2,2,2,2,2
A01_HW_LO_075_4_1,毎日一定の時間を宿題に割いた上で他の全ての活動もできるようなスケジュールを組むことがどの程度可能なのかが説明されていない。,毎日一定の時間を宿題に割いた上で他の全ての活動もできるようなスケジュールを組むことはどの程度可能かの具体性に欠ける,3,3,3,3,2,3
A01_HW_LO_078_1_1,宿題の方が自由時間よりも大事な理由が明示化されていない,なぜ自由時間よりも宿題を優先すべきかの説明が不足している,3,3,3,3,3,3
A01_HW_LO_078_3_1,宿題の重要性が描かれていない,なぜ生徒にとって宿題が良いことなのかが不明確,1,3,3,3,3,3
A01_HW_LO_087_1_1,時間をうまく使えない生徒にとって宿題があるとどういいのかに言及していない。,なぜ時間をうまく使えない生徒にとって宿題が良いことなのかが不明確,3,3,3,3,3,3
A01_HW_LO_087_4_1,時間を有効活用できる生徒の存在をGovは主張したいのだと予想されるが、そういった生徒よりも有効活用できない生徒に目を向けるべき理由が説明されていない。,なぜ時間を有効活用できる生徒よりも時間を有効活用できない生徒を優先すべきかの説明が不足している,2,2,3,3,1,2
A01_HW_LO_089_1_1,もし宿題がない結果自分の好きな勉強ができるとGovから返答された際に勝ちきれない分析となっている,肯定側からのもし宿題がない結果自分の好きな勉強ができるという反論が想定される,1,3,1,1,3,1
A01_HW_LO_089_2_1,宿題がなければ本当に勉強をしないのかという点について理由がない,なぜ宿題がないによって学生が勉強をしないという悪い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_089_3_1,勉強の重要性について深く説明されていない,なぜ勉強は重要という特性を持つと言えるのかが不明確,3,3,3,3,3,3
A01_HW_LO_090_1_1,多忙なスケジュールに活動を組み入れることが学校以外で役立つからといって、睡眠不足などの問題を解決したわけではない,なぜ肯定側の宿題があることによって睡眠不足などの問題があるという主張よりも否定側の多忙なスケジュールに活動を組み入れることが学校以外で役立つという主張が優位だと言えるのかが不明確,1,3,1,3,3,3
A01_HW_LO_090_2_1,beyondschoolとありますが、どのような場で多忙なスケジュールに活動を組み入れることがusefulなのかについて言及されていない,多忙なスケジュールに活動を組み入れることがusefulな場の具体例には何があるか,1,1,2,2,2,2
A01_HW_LO_090_3_1,スケジュールの立て方をどのように生徒が学習するかの分析がない,なぜ宿題によってスケジュールの立て方を生徒が学習するという良い結果が起こるのかが不明確,3,1,3,3,3,3
A01_HW_LO_090_4_1,情景の描写はとても詳しくなされていますが、成功する方法は重要なタスクのための時間を作ることであり、そのための最良のツールはスケジュールであることを学ぶのは一言でいうとどのような宿題の特徴によるものなのかが掴みにくい,なぜ宿題によって成功する方法は重要なタスクのための時間を作ることであり、そのための最良のツールはスケジュールであることを学ぶことができるという良い結果が起こるのかが不明確,2,1,2,1,3,1
A01_HW_LO_091_1_1,教師が宿題の締め切りに融通が利かないことを前提としていると反論しているが、全国の学校の中にはPMのいうような学校も存在するかもしれない,教師が宿題の締め切りに融通が利かないというのは肯定側が定義している全国の学校の中には寝る時間もないような宿題を出す学校も存在するかもしれないことを考慮できていない,1,1,1,1,3,1
A01_HW_LO_094_2_1,なぜ子供たちが「本当にやりたいこと」として、怪しいインターネットサイトを見たり、暴力的なビデオゲームをしたり、G指定されていないテレビ番組や映画を見たりするのかという分析が不足している,なぜ宿題廃止によって子どもたちが「本当にやりたいこと」として、怪しいインターネットサイトを見たり、暴力的なビデオゲームをしたり、G指定されていないテレビ番組や映画を見たりするという悪い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_094_3_1,なぜ時間を有効活用できずに子供たちが「本当にやりたいこと」として、怪しいインターネットサイトを見たり、暴力的なビデオゲームをしたり、G指定されていないテレビ番組や映画を見たりしてしまうのか、なぜ例示された行動はよくないことなのかという理由が欠けている,なぜ子どもたちにとって時間を有効活用できずに「本当にやりたいこと」として、怪しいインターネットサイトを見たり、暴力的なビデオゲームをしたり、G指定されていないテレビ番組や映画を見たりしてしまうが悪いことなのかが不明確,3,3,3,3,1,3
A01_HW_LO_094_5_1,本当に生徒は宿題廃止後に時間を有効活用できないのかという点について詳細の説明がない,なぜ宿題廃止によって生徒は時間を有効活用できないという悪い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_094_6_1,子供たちがなぜ効果的な時間の使い方ができないのか,なぜ子どもたちは効果的な時間の使い方ができないという特性を持つと言えるのかが不明確,3,3,3,3,3,3
A01_HW_LO_095_1_1,自分の時間を奪うような活動の明確な具体例がない,自分の時間を奪うような活動の具体例には何があるか,3,1,1,3,3,3
A01_HW_LO_095_2_1,なぜ生徒が自分の時間を奪うような活動をするのかの理由がない,なぜ宿題廃止によって生徒が自分の時間を奪うような活動をするという悪い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_102_11_1,宿題と無関係に真剣に考えることができる生徒の例がない,なぜ生徒が真剣に考えられることと宿題は無関係という特性を持つと言えるのかが不明確,1,3,1,3,1,1
A01_HW_LO_102_1_1,宿題があっても自分で何とかできるので、それは違うということです。自分の学力を真剣に考えれば、他の本を読んだり、塾に行ったり、なんでもできるはずという主張は、宿題の固有性に着目されていない,宿題があっても自分の学力を真剣に考えれば、他の本を読んだり、塾に行ったり、なんでもできるはずというのは肯定側が定義している宿題の固有性ことを考慮できていない,3,3,3,3,3,3
A01_HW_LO_102_2_1,学力それ自体というよりも自分で何をするか考えて決めることが大事という主張なので、そもそも学力が大事だという説明が不足している,宿題があっても自分の学力を真剣に考えれば、他の本を読んだり、塾に行ったり、なんでもできるはずというのは肯定側が定義している学力それ自体というよりも自分で何をするか考えて決めることが大事ことを考慮できていない,1,3,3,3,3,3
A01_HW_LO_102_3_1,勉強をする生徒の場合に焦点が当てられている,自分の学力を真剣に考えれば、他の本を読んだり、塾に行ったり、なんでもできるはずというのは肯定側が定義している生徒が自主的に勉強できない生徒ことを考慮できていない,1,3,3,3,1,3
A01_HW_LO_102_4_1,宿題は彼らの自立を妨げるものではないという部分に対する、自分の学力を真剣に考えれば、他の本を読んだり、塾に行ったり、なんでもできるはずだからという理由が描写に頼ってしまっている,なぜ自分の学力を真剣に考えれば、他の本を読んだり、塾に行ったり、なんでもできるはずという理由が宿題は彼らの自立を妨げるものではないという結論を支持するのかが不明確,3,2,3,1,3,3
A01_HW_LO_102_5_1,宿題を強制することで、受動的になるというのは、相反するものではないという主張だと両方のパラダイムでの差が良くも悪くも無いという状態,なぜ肯定側の宿題を強制することで、受動的になるから宿題を廃止すべきという主張よりも否定側の宿題を強制することで、受動的になるというのは、相反するものではないという主張が優位だと言えるのかが不明確,3,3,1,3,1,3
A01_HW_LO_102_6_1,生徒が自分のことを真剣に考えない結果、どういう行動をするのかという例示がない,なぜ生徒にとって自分のことを真剣に考えないことが悪いことなのかが不明確,3,1,3,2,1,1
A01_HW_LO_102_7_1,生徒が「勉強しなくてもいいや」と思って勉強を放棄してしまう結果、宿題がある時と比べてどのような問題があるかというところまでは説明されていない,なぜ生徒にとって宿題の廃止により「勉強しなくてもいいや」と思い勉強を放棄してしまうことが悪いことなのかが不明確,3,3,2,2,1,2
A01_HW_LO_102_8_1,どれくらいimmatureかというextent（程度感）が説明されていない,学生はどの程度immatureかの具体性に欠ける,3,2,3,3,3,3
A01_HW_LO_102_9_1,真面目に考えることができる学生がいたとしても、宿題との関係はないという主張で、明確な比較がされていない,なぜ肯定側の宿題を強制することで、受動的になるから宿題を廃止すべきという主張よりも否定側の真面目に考えることができる学生がいたとしても、宿題との関係はないという主張が優位だと言えるのかが不明確,3,3,3,3,3,3
A01_HW_LO_112_1_1,多くの人は他のガイドラインに頼っているので、学生がどれだけ受動的であっても問題ないという反論のオチが「だから問題ない」というものになっている,肯定側の宿題を廃止すべきという主張に多くの人は宿題以外の他のガイドラインに頼っているので、学生がどれだけ受動的であっても問題ないというのは直接的な反論になっていない,1,3,3,3,3,3
A01_HW_LO_112_2_1,多くの人は他のガイドラインに頼っているので、学生がどれだけ受動的であっても問題ないという反論で、今回は「問題ない」というところまでは言うことができていますが「良い」というところまでは言えてない,なぜ肯定側の宿題を強制することで、生徒の性格が能動的ではなく受動的になるという主張よりも否定側の多くの人は他のガイドラインに頼っているので、学生がどれだけ受動的であっても問題ないという主張が優位だと言えるのかが不明確,3,1,1,3,3,3
A01_HW_LO_112_3_1,他の基準があるということを示しても宿題の存在を積極的に支持していることにはならない,なぜ他の基準があるという理由が宿題の存在を積極的に支持しているという結論を支持するのかが不明確,3,3,3,3,3,3
A01_HW_LO_112_4_1,宿題というガイドラインと人生の他のガイドラインは意味合い・程度感が異なると言うことができる,肯定側からの宿題というガイドラインと人生の他のガイドラインは意味合い・程度感が異なるという反論が想定される,3,3,3,3,3,3
A01_HW_LO_113_1_1,宿題が必要だという帰結にはなっていない,肯定側の宿題を廃止すべきという主張に親による子供の意思決定への抑圧は、子供のパラダイムの中ではむしろ強くなっているというのは直接的な反論になっていない,1,1,3,1,1,1
A01_HW_LO_113_2_1,宿題が廃止されてもプレッシャーや指示されることは変わりないと言うことはできていますが、PMが問題視しているpassiveさは本当に問題なのかなどについて言及がない,宿題が廃止されてもプレッシャーや指示されることは変わりないというのは肯定側が定義しているpassiveさの問題ことを考慮できていない,3,3,3,2,3,3
A01_HW_LO_113_3_1,否定側がどういいのかが分かりにくい,なぜ肯定側の宿題を廃止すべきという主張よりも否定側の宿題を廃止すべきでないという主張が優位だと言えるのかが不明確,3,3,3,1,3,3
A01_HW_LO_114_1_1,宿題が学力に大きく影響するという前提の理由がない,なぜ宿題は学力に大きく影響するという特性を持つと言えるのかが不明確,3,3,3,3,3,3
A01_HW_LO_114_2_1,積極性の方が評価される、積極性があることで学力にも影響があるなど主張することができる,肯定側からの積極性の方が評価される、積極性があることで学力にも影響があるという反論が想定される,1,3,3,3,3,3
A01_HW_LO_114_3_1,職業という理由に頼っている状態,学生が受動的であっても、十分な教育を受けていれば、そのような企業に入社することができるというのは限定的な状況である,1,1,3,1,1,1
A01_HW_LO_117_1_1,宿題を廃止すれば、生徒は性格的に受動的になるという主張の根拠となる理由や例がなく、PMの主張を否定しきれていない,なぜ宿題廃止によって生徒は性格的に受動的になるという悪い結果が起こるのかが不明確,3,2,1,3,3,3
A01_HW_LO_117_2_1,どちらのパラダイムにおいても、生徒は受動的な性格であるという主張では、宿題の方が良い、というところまでは言えていない,宿題がある場合とない場合どちらのパラダイムにおいても、生徒は受動的な性格であるというのは肯定側が定義している宿題を廃止すべきことを考慮できていない,2,1,3,3,3,3
A01_HW_LO_117_4_1,宿題による受動性と部活動による受動性がどの程度同じなのかが不明瞭,なぜ (*という点において )宿題による受動性と部活動による受動性は同じ/似ていると言えるのかが不明確,3,3,3,3,3,3
A01_HW_LO_117_6_1,どのようなプロセスで宿題廃止後もpassivecharacterというのが変わらないのかが説明されていない,なぜ宿題廃止によってpassivecharacterというのが変わらないという悪い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_117_8_1,どちらのパラダイムにおいても、生徒は受動的な性格であると考えられるという言い方だと否定側に有利な結論にもなっていない,なぜ肯定側の宿題をすると性格的に受動的になるから宿題は廃止すべきという主張よりも否定側の宿題がある場合とない場合どちらのパラダイムにおいても、生徒は受動的な性格であると考えられるという主張が優位だと言えるのかが不明確,3,3,3,3,3,3
A01_HW_LO_130_1_1,Govの世界ではどうなるのかという分析が欠けている,なぜ生徒にとって宿題廃止が悪いことなのかが不明確,1,1,1,3,1,1
A01_HW_LO_130_2_1,生徒の能動的な学習を導くものとしての宿題の固有性についてまだまだ話せることはある。,生徒の能動的な学習を実現するのに，なぜ他の方法ではなく宿題という方法が良いのかの説明が不足している,3,3,3,3,3,3
A01_HW_LO_140_1_1,提示された理由は宿題があってもなくてもできる能動的な学習についてであり、宿題の必要性に繋がっていない。,なぜ宿題があっても能動的な学習ができるという理由が宿題が必要であるという結論を支持するのかが不明確,2,1,2,3,3,2
A01_HW_LO_145_1_1,individualbasisというものが何なのかがはっきりとわからない,individual basisという表現が何を意味しているのか分からない,3,3,2,3,3,3
A01_HW_LO_145_4_1,goodforstudentsとありますが、どのように個性を発揮できるのかがスピーチからわからず本当にgoodなのかわからない,なぜ宿題によって生徒が個性を発揮できるという良い結果が起こるのかが不明確,1,1,1,1,1,1
A01_HW_LO_147_1_1,強制されることは悪くないという理由の理由がなく、関連性の評価が難しい。,なぜ強制されることは悪いことではないという特性を持つと言えるのかが不明確,3,1,3,3,3,3
A01_HW_LO_147_3_1,宿題の強制による生徒の負担がどれくらいあるのかわからないという主張は、負担の存在を否定できているわけではない。,宿題の強制はどの程度生徒の負担になるかの具体性に欠ける,3,1,2,3,2,2
A01_HW_LO_150_1_1,子供たちが新しいことを勉強する状況での宿題があるときとないときの差が暗に示されているだけの状態で、明示的には示されていない。,子供たちが新しいことを勉強することを実現するのに，なぜ宿題を廃止するではなく宿題を実施するという方法が良いのかの説明が不足している,3,1,3,3,3,3
A01_HW_LO_156_1_1,実生活に必要なスキルを学ぶという意味では、宿題の方がクラスでの勉強よりも優れているというのは、どの程度betterなのかが不明瞭,宿題はどの程度クラスでの勉強よりも実生活に必要なスキルを学ぶという意味で優れているかの具体性に欠ける,3,3,3,2,2,3
A01_HW_LO_156_2_1,実生活に必要なスキルを学ぶという意味では、宿題の方がクラスでの勉強よりも優れているという主張では、PMの提示したゴールである自立にとってどういいのかということが明示的に示されていない,実生活に必要なスキルを学ぶという意味では、宿題の方がクラスでの勉強よりも優れているというのは肯定側が定義しているゴールである自立ことを考慮できていない,3,3,2,3,3,3
A01_HW_LO_156_3_1,reallifeskillsを学ぶことの重要性が説明されていない,なぜ生徒はreallifeskillsを学ぶとすべきと考えているのかが不明確,3,3,3,3,3,3
A01_HW_LO_156_4_1,具体的にどのような宿題で有効なリソースを見つけるskillを使うのかということが描写されておらず、そういう宿題は限られた一部ではないかという気がする,有効なリソースを見つけるskillを使う宿題の具体例には何があるか,3,1,1,3,3,3
A01_HW_LO_156_5_1,宿題をすることで得られるスキルがどう宿題に固有なのか、どう役に立つのかの説明がない,なぜ宿題によって有効なリソースを見つけるスキルを得られるという良い結果が起こるのかが不明確,2,3,1,3,1,1
A01_HW_LO_156_6_1,宿題の方がいい、宿題だからこそ自立が獲得できるということが説明されておらず、宿題がなくてもいいのではないかという指摘を受ける可能性がある,肯定側からの宿題がなくても自立が獲得できるからいいのではないかという反論が想定される,1,3,3,2,2,2
A01_HW_LO_156_7_1,どのような宿題の特徴が自立に繋がっているのかがややわかりづらい,なぜ宿題によって自立に繋がるという良い結果が起こるのかが不明確,3,3,3,1,3,3
